Date,DateValue,Price,Open,High,Low
29-08-13,41515,1.3241,1.3339,1.3344,1.3219
30-08-13,41516,1.3222,1.3243,1.3256,1.3175
02-09-13,41519,1.3192,1.3234,1.3238,1.3184
03-09-13,41520,1.317,1.3191,1.3198,1.3138
04-09-13,41521,1.3209,1.3171,1.322,1.3156
05-09-13,41522,1.312,1.3207,1.3223,1.311
06-09-13,41523,1.318,1.3119,1.3189,1.3104
09-09-13,41526,1.3255,1.3169,1.3281,1.3159
10-09-13,41527,1.3268,1.3255,1.3276,1.323
11-09-13,41528,1.3312,1.327,1.3327,1.3245
12-09-13,41529,1.3299,1.331,1.3326,1.3261
13-09-13,41530,1.3294,1.3299,1.3323,1.3255
16-09-13,41533,1.3334,1.3306,1.3386,1.3296
17-09-13,41534,1.3359,1.3334,1.3371,1.3326
18-09-13,41535,1.3522,1.3359,1.3542,1.3338
19-09-13,41536,1.353,1.3521,1.3569,1.35
20-09-13,41537,1.3524,1.3531,1.355,1.3498
23-09-13,41540,1.3493,1.3546,1.3556,1.3479
24-09-13,41541,1.3474,1.3493,1.3519,1.3464
25-09-13,41542,1.3526,1.3473,1.3538,1.3461
26-09-13,41543,1.3489,1.3526,1.3529,1.3471
27-09-13,41544,1.3522,1.3487,1.3565,1.3473
30-09-13,41547,1.3526,1.348,1.3557,1.3468
01-10-13,41548,1.3526,1.3528,1.359,1.3517
02-10-13,41549,1.3579,1.3527,1.3609,1.3509
03-10-13,41550,1.3618,1.3577,1.3646,1.3576
04-10-13,41551,1.3558,1.3618,1.3632,1.3538
07-10-13,41554,1.3582,1.3556,1.3592,1.3542
08-10-13,41555,1.3573,1.3583,1.3609,1.3558
09-10-13,41556,1.3524,1.3573,1.3605,1.3486
10-10-13,41557,1.352,1.3524,1.3546,1.3488
11-10-13,41558,1.3542,1.3519,1.3582,1.3517
14-10-13,41561,1.3561,1.3544,1.3598,1.3542
15-10-13,41562,1.3523,1.3561,1.3571,1.3479
16-10-13,41563,1.3535,1.3523,1.3567,1.3472
17-10-13,41564,1.3676,1.3535,1.3681,1.3514
18-10-13,41565,1.3685,1.3674,1.3704,1.3659
21-10-13,41568,1.3683,1.3687,1.3691,1.3651
22-10-13,41569,1.3781,1.3683,1.3794,1.3662
23-10-13,41570,1.3777,1.3784,1.3794,1.3741
24-10-13,41571,1.38,1.3776,1.3826,1.3764
25-10-13,41572,1.3805,1.3801,1.3833,1.3774
28-10-13,41575,1.3784,1.3803,1.3817,1.3775
29-10-13,41576,1.3746,1.3784,1.3813,1.3735
30-10-13,41577,1.3736,1.3745,1.3785,1.3696
31-10-13,41578,1.3584,1.3737,1.374,1.3577
01-11-13,41579,1.3487,1.3584,1.3592,1.3481
04-11-13,41582,1.3516,1.3489,1.3527,1.3443
05-11-13,41583,1.3474,1.3514,1.3523,1.3449
06-11-13,41584,1.3512,1.3476,1.355,1.3468
07-11-13,41585,1.342,1.3514,1.3529,1.3296
08-11-13,41586,1.3371,1.342,1.3439,1.3317
11-11-13,41589,1.3407,1.3361,1.3417,1.3344
12-11-13,41590,1.3436,1.3407,1.3457,1.3359
13-11-13,41591,1.3487,1.3436,1.3497,1.3392
14-11-13,41592,1.3459,1.3489,1.3499,1.3419
15-11-13,41593,1.3495,1.3458,1.3506,1.3432
18-11-13,41596,1.3505,1.3502,1.3543,1.3475
19-11-13,41597,1.3539,1.3505,1.3549,1.3488
20-11-13,41598,1.3439,1.3539,1.3579,1.3417
21-11-13,41599,1.3482,1.344,1.3487,1.3399
22-11-13,41600,1.3558,1.3482,1.3558,1.3462
25-11-13,41603,1.3516,1.355,1.3561,1.3491
26-11-13,41604,1.3572,1.3517,1.3575,1.3514
27-11-13,41605,1.3579,1.3571,1.3613,1.3557
28-11-13,41606,1.3605,1.358,1.3619,1.3563
29-11-13,41607,1.359,1.3605,1.3622,1.3579
02-12-13,41610,1.3542,1.359,1.3617,1.3525
03-12-13,41611,1.359,1.354,1.3613,1.3523
04-12-13,41612,1.3594,1.3589,1.3605,1.3528
05-12-13,41613,1.3668,1.3594,1.3678,1.3542
06-12-13,41614,1.3706,1.3668,1.3708,1.363
09-12-13,41617,1.3739,1.372,1.3747,1.3694
10-12-13,41618,1.3761,1.3738,1.3797,1.3733
11-12-13,41619,1.3786,1.376,1.3811,1.3739
12-12-13,41620,1.3755,1.3787,1.3804,1.3736
13-12-13,41621,1.3743,1.3755,1.3771,1.371
16-12-13,41624,1.3761,1.374,1.3799,1.3724
17-12-13,41625,1.3768,1.3762,1.3784,1.3724
18-12-13,41626,1.3685,1.377,1.3813,1.3675
19-12-13,41627,1.3663,1.3685,1.3695,1.3649
20-12-13,41628,1.3672,1.3662,1.371,1.3624
23-12-13,41631,1.3696,1.367,1.3717,1.3666
24-12-13,41632,1.3684,1.3697,1.3704,1.3655
25-12-13,41633,1.368,1.3684,1.371,1.3661
26-12-13,41634,1.3691,1.3679,1.3702,1.3662
27-12-13,41635,1.3742,1.3692,1.3893,1.3686
30-12-13,41638,1.3805,1.3744,1.3821,1.3729
31-12-13,41639,1.3746,1.3803,1.3813,1.3742
01-01-14,41640,1.3754,1.3742,1.3769,1.3742
02-01-14,41641,1.3672,1.3756,1.3777,1.363
03-01-14,41642,1.3588,1.3672,1.3674,1.3582
06-01-14,41645,1.3628,1.3589,1.3653,1.3571
07-01-14,41646,1.3616,1.3627,1.3657,1.3596
08-01-14,41647,1.3575,1.3617,1.3636,1.3554
09-01-14,41648,1.3609,1.3577,1.3636,1.355
10-01-14,41649,1.367,1.3609,1.3689,1.3577
13-01-14,41652,1.3672,1.3669,1.3685,1.3637
14-01-14,41653,1.3679,1.367,1.3699,1.3648
15-01-14,41654,1.3605,1.368,1.3684,1.3582
16-01-14,41655,1.362,1.3604,1.365,1.3582
17-01-14,41656,1.3541,1.362,1.3623,1.3517
20-01-14,41659,1.3552,1.3543,1.357,1.3508
21-01-14,41660,1.3561,1.3552,1.3571,1.3518
22-01-14,41661,1.3548,1.3559,1.3584,1.3535
23-01-14,41662,1.3695,1.3547,1.3699,1.353
24-01-14,41663,1.3678,1.3697,1.3741,1.3665
27-01-14,41666,1.3672,1.3677,1.3718,1.3654
28-01-14,41667,1.3669,1.3673,1.3689,1.3629
29-01-14,41668,1.3663,1.3668,1.3685,1.3603
30-01-14,41669,1.3556,1.3662,1.3666,1.3543
31-01-14,41670,1.3487,1.3557,1.357,1.348
03-02-14,41673,1.3525,1.3493,1.3536,1.3476
04-02-14,41674,1.3519,1.3525,1.3539,1.3494
05-02-14,41675,1.3533,1.3519,1.3555,1.3498
06-02-14,41676,1.359,1.3533,1.3621,1.3485
07-02-14,41677,1.3635,1.359,1.3642,1.3553
10-02-14,41680,1.3647,1.3634,1.3653,1.3609
11-02-14,41681,1.3639,1.3648,1.3686,1.3631
12-02-14,41682,1.3594,1.3639,1.3655,1.3563
13-02-14,41683,1.3681,1.3594,1.3694,1.3586
14-02-14,41684,1.3693,1.3681,1.3718,1.3674
17-02-14,41687,1.3708,1.3688,1.3725,1.3687
18-02-14,41688,1.3758,1.3706,1.377,1.3694
19-02-14,41689,1.3733,1.3757,1.3774,1.3724
20-02-14,41690,1.3718,1.3733,1.3763,1.3685
21-02-14,41691,1.374,1.372,1.376,1.3704
24-02-14,41694,1.3735,1.3735,1.377,1.3708
25-02-14,41695,1.3746,1.3735,1.3767,1.3714
26-02-14,41696,1.3688,1.3744,1.3758,1.3661
27-02-14,41697,1.3709,1.3687,1.3727,1.3642
28-02-14,41698,1.3803,1.3708,1.3824,1.3693
03-03-14,41701,1.3735,1.3786,1.3793,1.3725
04-03-14,41702,1.3744,1.3735,1.3782,1.372
05-03-14,41703,1.3733,1.3742,1.3746,1.3706
06-03-14,41704,1.3861,1.3734,1.3874,1.3723
07-03-14,41705,1.3878,1.386,1.3917,1.3854
10-03-14,41708,1.3877,1.3875,1.3898,1.3861
11-03-14,41709,1.3859,1.3874,1.388,1.3832
12-03-14,41710,1.3904,1.3859,1.3914,1.3841
13-03-14,41711,1.3869,1.3903,1.3968,1.3844
14-03-14,41712,1.3914,1.3866,1.3937,1.3847
17-03-14,41715,1.3922,1.3911,1.3949,1.3879
18-03-14,41716,1.3934,1.3921,1.3942,1.388
